,tconst,title_fr,startYear
0,tt0035423,Kate et Léopold,2001
1,tt0081145,Kid et le Truand,1993
2,tt0094004,Soldat de fortune,1990
3,tt0095006,"Sleep Well, My Love",1990
4,tt0095745,Ninja Vengeance,1993
5,tt0097004,Caged Fury,1990
6,tt0097184,Demonstone,1990
7,tt0097802,"Mado, poste restante",1990
8,tt0097893,Miss Missouri,1990
9,tt0097910,Moon 44,1990
10,tt0098172,Tir croise,1990
11,tt0098211,Robo Chic,1990
12,tt0098422,Le code Bushido,1990
13,tt0098514,Trois années,1990
14,tt0098961,Les mille et une nuits,1990
15,tt0098996,After Shock,1990
16,tt0099005,Air America,1990
17,tt0099009,La Comédie d'un jour,1990
18,tt0099012,Alice,1990
19,tt0099039,Angel le prince de la ville,1990
20,tt0099051,Après après-demain,1990
21,tt0099153,Mad jake,1990
22,tt0099160,Blue Steel,1990
23,tt0099166,Elles craquent toutes sauf une,1990
24,tt0099194,La chambre de Buster,1991
25,tt0099200,La Baule-les-Pins,1990
26,tt0099204,Cadillac Man,1990
27,tt0099271,Circuitry Man,1990
28,tt0099277,Class of 1999,1990
29,tt0099302,Cop Target,1990
30,tt0099310,Coupe de Ville,1990
31,tt0099329,Cry-Baby,1990
32,tt0099334,Cyrano de Bergerac,1990
33,tt0099355,De feu et d'acier,1990
34,tt0099365,Darkman,1990
35,tt0099422,Dick Tracy,1990
36,tt0099459,SOS dollars,1990
37,tt0099480,Eating - Le dernier secret des femmes,1990
38,tt0099536,La fiancée de la mafia,1990
39,tt0099556,Comment épouser un top model,1990
40,tt0099563,Feu sur le candidat,1990
41,tt0099572,Alliance finale,1990
42,tt0099575,Fire Birds,1990
43,tt0099581,Flashback,1990
44,tt0099611,Frankenhooker,1990
45,tt0099625,Future Zone,1990
46,tt0099635,Gaspard et Robinson,1990
47,tt0099675,Le gros bleu,1991
48,tt0099699,Green Card,1990
49,tt0099701,L'abîme,1990
50,tt0099720,Guns,1990
51,tt0099782,Pitch,1990
52,tt0099800,House Party,1990
53,tt0099817,Ange Noir,1990
54,tt0099841,Deux femmes pour un tueur,1990
55,tt0099856,Le maniaque invisible,1990
56,tt0100024,Life Is Sweet,1990
57,tt0100029,Leon,1990
58,tt0100053,Loose Cannons,1990
59,tt0100065,L'amour poursuite,1990
60,tt0100067,L'amour ou l'argent ?,1990
61,tt0100107,Maniac Cop 2,1990
62,tt0100122,A Matter of Degrees,1990
63,tt0100129,Rencontrez les Applegates,1990
64,tt0100133,Memphis Belle,1990
65,tt0100142,Metropolitan,1990
66,tt0100148,Terreur sur l'asphalte,1990
67,tt0100177,Monsieur,1990
68,tt0100291,Enfer dans la ville,1990
69,tt0100319,Babe,1990
70,tt0100403,Predator 2,1990
71,tt0100405,Pretty Woman,1990
72,tt0100425,Promotion canapé,1990
73,tt0100428,Présumé dangereux,1990
74,tt0100436,Pump Up the Volume,1990
75,tt0100473,Rendez-vous au tas de sable,1990
76,tt0100485,Revenge,1990
77,tt0100491,Riff-Raff,1991
78,tt0100502,RoboCop 2,1990
79,tt0100506,Rockula,1990
80,tt0100524,Rue du Bac,1991
81,tt0100533,Côte d'alerte,1990
82,tt0100558,Lambarene,1990
83,tt0100613,Set gagnant,1990
84,tt0100639,Massacre à la perceuse,1990
85,tt0100663,Sorority House Massacre II,1990
86,tt0100670,Futurama,1990
87,tt0100705,S.Q.U.A.D Police,1990
88,tt0100707,Streets,1990
89,tt0100781,Missile sur Washington,1991
90,tt0100802,Total Recall,1990
91,tt0100805,Toujours seuls,1991
92,tt0100814,Tremors,1990
93,tt0100837,La fête des mères,1990
94,tt0100851,Uranus,1990
95,tt0100994,Young Guns II,1990
96,tt0101252,29ème rue,1991
97,tt0101264,"Abraxas, gardien de l'univers",1990
98,tt0101273,The Adjuster,1991
99,tt0101324,American Friends,1991
100,tt0101356,Le menteur & le tricheur,1991
101,tt0101371,Article 99,1992
102,tt0101393,Backdraft,1991
103,tt0101410,Barton Fink,1991
104,tt0101445,Les apprentis voyous,1991
105,tt0101455,Bingo,1991
106,tt0101501,"Ni dieu, ni maître",1991
107,tt0101570,Cherokee,1991
108,tt0101615,Cool as Ice,1991
109,tt0101627,Critters 3,1991
110,tt0101660,À plein tube!,1991
111,tt0101668,De Hollywood à Tamanrasset,1990
112,tt0101700,Delicatessen,1991
113,tt0101701,Un crime dans la tête,1991
114,tt0101703,Delta Force Commando 2,1990
115,tt0101735,Immunité diplomatique,1991
116,tt0101745,Doc Hollywood,1991
117,tt0101748,L'amour n'est pas un jeu,1991
118,tt0101757,Panique chez les Crandell,1991
119,tt0101764,Double Impact,1991
120,tt0101775,Fais de l'air Fred,1991
121,tt0101862,Le père de la mariée,1991
122,tt0101909,Machination,1991
123,tt0101997,Hangfire,1991
124,tt0102004,La Manière forte,1991
125,tt0102010,Pas de Pitié Pour les Pauvres,1991
126,tt0102043,Destructor,1990
127,tt0102103,Impromptu,1991
128,tt0102107,In Gold We Trust,1990
129,tt0102168,Le Jour des rois,1991
130,tt0102170,Julia a deux amants,1990
131,tt0102203,Kickboxer King,1991
132,tt0102205,Kid,1990
133,tt0102250,Los Angeles Story,1991
134,tt0102326,Lola Zipper,1991
135,tt0102341,Maux d'amour,1990
136,tt0102351,Lucky Luke,1991
137,tt0102422,McBain,1991
138,tt0102428,La tentation de Vénus,1991
139,tt0102462,Mohamed Bertrand-Duval,1991
140,tt0102492,"Copain, copine",1991
141,tt0102500,Un étrange rendez-vous,1991
142,tt0102526,New Jack City,1991
143,tt0102536,Une nuit sur Terre,1991
144,tt0102599,Oostende,1991
145,tt0102655,L'arme parfaite,1991
146,tt0102685,Point Break : Extrême Limite,1991
147,tt0102690,Possessor,1991
148,tt0102703,Prayer of the Rollerboys,1990
149,tt0102710,La cible parfaite,1991
150,tt0102748,Ragazzi,1991
151,tt0102749,A Rage in Harlem - La reine des pommes,1991
152,tt0102789,Ricochet,1991
153,tt0102818,Run,1991
154,tt0102820,Rush,1991
155,tt0102943,Slacker,1990
156,tt0102984,Stone cold - La confrérie de la mort,1991
157,tt0103003,Space Commando,1991
158,tt0103011,Sushi Sushi,1991
159,tt0103015,Le beau parleur,1991
160,tt0103016,Dans la peau d'une blonde,1991
161,tt0103092,Tinpis Run,1991
162,tt0103107,Toubab Bi,1991
163,tt0103111,Hard to Die,1990
164,tt0103122,Triplex,1991
165,tt0103129,Ghost Story,1990
166,tt0103155,Un type bien,1991
167,tt0103192,Vegas in space,1991
168,tt0103239,"A la vie, à la mort",1991
169,tt0103622,Trois kids et un tueur,1992
170,tt0103639,Aladdin,1992
171,tt0103644,Alien³,1992
172,tt0103737,Août,1991
173,tt0103784,Un loup dans la bergerie,1991
174,tt0103786,Beethoven,1992
175,tt0103825,Kickboxer Cop,1992
176,tt0103841,Bloodlust,1992
177,tt0103848,Blue Ice,1992
178,tt0103850,Bob Roberts,1992
179,tt0103859,Boomerang,1992
180,tt0103873,Braindead,1992
181,tt0103923,Captain America,1990
182,tt0103926,Careful,1992
183,tt0103939,Chaplin,1992
184,tt0103992,Comment font les gens,1993
185,tt0104009,Cool World,1992
186,tt0104016,Coup de jeune,1993
187,tt0104073,Dernière limite,1992
188,tt0104080,Delta Heat: Dans le feu de l'action,1992
189,tt0104088,Meurtre au Sunset Hotel,1991
190,tt0104142,Crazy Car,1991
191,tt0104144,Drôles d'oiseaux,1993
192,tt0104215,Excessive Force,1992
193,tt0104267,L'affrontement final,1992
194,tt0104299,Freejack,1992
195,tt0104344,"Gito, l'ingrat",1992
196,tt0104346,Gladiateurs,1992
197,tt0104428,Caravan city,1992
198,tt0104470,I Was on Mars,1991
199,tt0104503,In the Soup,1992
200,tt0104511,Innocent Blood,1992
201,tt0104521,Shotgun,1991
202,tt0104530,Le tueur,1992
203,tt0104550,Jersey girls,1992
204,tt0104567,Johnny Suede,1991
205,tt0104573,Juice,1992
206,tt0104638,Krapatchouk,1992
207,tt0104647,Deadly Impact Milices,1992
208,tt0104741,Petite soeur,1992
209,tt0104745,The Living End,1992
210,tt0104804,Man Trouble,1992
211,tt0104831,Force Maximum,1992
212,tt0104897,"Mo' Money, plus de blé",1992
213,tt0104928,Mr. Saturday Night,1992
214,tt0104981,Neon City,1991
215,tt0105025,Madunaccia,1992
216,tt0105063,Opposite Sex - Comment s'en servir,1992
217,tt0105130,Les amis de Peter,1992
218,tt0105151,The Player,1992
219,tt0105162,Praying with Anger,1992
220,tt0105183,Final Experiment,1992
221,tt0105201,Quartier Mozart,1992
222,tt0105213,Apocalypse Warriors,1992
223,tt0105219,Rapid Fire,1992
224,tt0105237,Resistance,1992
225,tt0105278,Room Service,1992
226,tt0105365,La sévillane,1992
227,tt0105396,"Mon dieu, on a tué ma femme",1992
228,tt0105402,Sidekicks,1992
229,tt0105415,Singles,1992
230,tt0105417,Sister Act,1992
231,tt0105485,Justice à mains nues,1992
232,tt0105495,Sup de fric,1992
233,tt0105586,La thune,1991
234,tt0105626,Toutes peines confondues,1992
235,tt0105629,Toys,1992
236,tt0105643,Troll II,1990
237,tt0105654,The Tune,1992
238,tt0105670,Twogether,1992
239,tt0105681,Fatale randonnée,1992
240,tt0105683,Un vampire au paradis,1992
241,tt0105693,Une journée chez ma mère,1993
242,tt0105698,Universal Soldier,1992
243,tt0105738,Versailles Rive-Gauche,1992
244,tt0105756,Ville à vendre,1992
245,tt0105772,Voyage à Rome,1992
246,tt0105793,Wayne's World,1992
247,tt0105824,Wind,1992
248,tt0105851,Full Contact,1992
249,tt0105871,L'année de la comète,1992
250,tt0105900,Honor and Glory,1992
251,tt0106216,Roses mortelles,1993
252,tt0106258,La loi du samouraï,1992
253,tt0106263,Amok,1993
254,tt0106307,Arizona Dream,1993
255,tt0106327,Aux petits bonheurs,1993
256,tt0106341,Bad Boy Bubby,1993
257,tt0106353,Bad Billy,1993
258,tt0106359,Bare Exposure,1993
259,tt0106387,Benny et Joon,1993
260,tt0106408,"Bhaji, une balade à Blackpool",1993
261,tt0106418,Entre deux feux,1993
262,tt0106531,La Cavale des fous,1993
263,tt0106533,Ce que femme veut...,1993
264,tt0106598,Coneheads,1993
265,tt0106618,Couples et amants,1993
266,tt0106644,Tueur sur commande,1993
267,tt0106697,Demolition Man,1993
268,tt0106761,Double Dragon,1994
269,tt0106792,Bon appétit maman,1993
270,tt0106796,Le sang de l'Amazone,1993
271,tt0106850,Extreme Justice,1993
272,tt0106852,Fausse note pour un mariage,1993
273,tt0106866,Fanfan,1993
274,tt0106873,Fatal Instinct,1993
275,tt0106879,Faut-il aimer Mathilde?,1993
276,tt0106902,Fifty/Fifty,1992
277,tt0106913,Feu sur l'Amazone,1993
278,tt0106915,Fire Power,1993
279,tt0106922,Fit to Kill,1993
280,tt0106941,Le concierge du Bradbury,1993
281,tt0106946,Dans la gueule du loup,1994
282,tt0106950,Fortress,1992
283,tt0106951,Mercenaires en enfer,1994
284,tt0106954,Cover up,1992
285,tt0107039,Grand bonheur,1993
286,tt0107079,Revocator,1994
287,tt0107114,Les histoires d'amour finissent mal... en général,1993
288,tt0107117,Hit List,1993
289,tt0107182,La croqueuse de diams,1994
290,tt0107219,Relations interdites,1992
291,tt0107247,Jack,1993
292,tt0107293,Juste avant l'orage,1992
293,tt0107315,Kika,1993
294,tt0107362,Last Action Hero,1993
295,tt0107387,Leprechaun,1992
296,tt0107392,Lethal Ninja,1992
297,tt0107473,Mad Dog and Glory,1993
298,tt0107478,Made in America,1993
299,tt0107505,Mandroid,1993
300,tt0107563,Meteor Man,1993
301,tt0107597,Monolithe,1993
302,tt0107613,Mr. Wonderful,1993
303,tt0107642,Métisse,1993
304,tt0107653,Naked,1993
305,tt0107668,Nemesis,1992
306,tt0107784,Pas d'amour sans amour!,1993
307,tt0107879,Gangs of L.A.,1993
308,tt0107889,Le programme: Vaincre à tout prix,1993
309,tt0107920,Raining Stones,1993
310,tt0107978,RoboCop 3,1993
311,tt0107979,Robot Wars,1993
312,tt0108006,Les impitoyables,1993
313,tt0108059,L'escorte,1993
314,tt0108099,Vengeance de Flic,1992
315,tt0108100,Chasseur d'ombres,1992
316,tt0108122,Short Cuts - Les Américains,1993
317,tt0108154,Skeeter,1993
318,tt0108255,Super Mario Bros.,1993
319,tt0108264,Deux doigts de meurtre,1993
320,tt0108268,Le maître d'arme,1992
321,tt0108277,Commanders,1993
322,tt0108290,Tango,1993
323,tt0108305,Taxi de nuit,1993
324,tt0108327,Nashville Blues,1993
325,tt0108334,3 de Coeur,1993
326,tt0108342,Time Runner,1993
327,tt0108349,Jusqu'à la mort,1991
328,tt0108357,Tom est tout seul,1995
329,tt0108366,Totally F***ed Up,1993
330,tt0108369,Tout le monde n'a pas eu la chance d'avoir des parents communistes,1993
331,tt0108372,Toxic Affair,1993
332,tt0108495,La marque du serpent,1994
333,tt0108517,Warlock: The Armageddon,1993
334,tt0108525,Wayne's World 2,1993
335,tt0108583,Wittgenstein,1993
336,tt0108673,À l'heure où les grands fauves vont boire,1993
337,tt0109028,Cold fever,1995
338,tt0109093,Amateur,1994
339,tt0109098,American Cyborg,1993
340,tt0109099,American Yakusa,1993
341,tt0109129,Angie,1994
342,tt0109144,Apex,1994
343,tt0109178,Automatic,1995
344,tt0109195,Retour en force,1994
345,tt0109198,Belles de l'Ouest,1994
346,tt0109227,Jack et le Haricot magique,1994
347,tt0109303,Blown Away,1994
348,tt0109307,Sous le signe du tigre,1994
349,tt0109352,D'une femme à l'autre,1994
350,tt0109360,Avec les compliments d'Alexa,1993
351,tt0109362,Cache Cash,1994
352,tt0109376,Police... secours!,1994
353,tt0109392,Chacun pour toi,1993
354,tt0109408,La traversée des hautes plaines,1994
355,tt0109484,"Corrina, Corrina",1994
356,tt0109504,Crooklyn,1994
357,tt0109506,The Crow,1994
358,tt0109508,Crumb,1994
359,tt0109517,Cyborg Cop,1993
360,tt0109518,Cyborg Cop 2,1994
361,tt0109525,Daisy et Mona,1994
362,tt0109529,Dance Me Outside,1994
363,tt0109536,Dangerous,1995
364,tt0109573,Justice sans sommation,1994
365,tt0109575,Death Machine,1994
366,tt0109627,Dinosaur Island,1994
367,tt0109676,Drop Zone,1994
368,tt0109707,Ed Wood,1994
369,tt0109722,Elles ne pensent qu'à ça...,1994
370,tt0109732,"English, August, une histoire indienne",1994
371,tt0109760,The Specialist,1995
372,tt0109772,Fast,1995
373,tt0109818,La folie douce,1994
374,tt0109840,Freefall: Chute libre,1994
375,tt0109913,Go Fish,1994
376,tt0109950,La tigresse sort ses griffes,1994
377,tt0109969,L'affaire du siècle,1994
378,tt0110117,Immortal Combat,1994
379,tt0110197,Jimmy Hollywood,1994
380,tt0110216,Junior,1994
381,tt0110263,Killing Machine,1994
382,tt0110329,La fiancée de Leprechaun,1994
383,tt0110340,The Lovers,1994
384,tt0110363,Little Big Boss,1994
385,tt0110432,Magic Kids 2,1994
386,tt0110443,Major Payne,1995
387,tt0110455,Un homme sans importance,1994
388,tt0110469,Marie-Louise ou la permission,1995
389,tt0110475,The Mask,1994
390,tt0110478,Maverick,1994
391,tt0110488,Mensonges d'hommes,1994
392,tt0110634,La vengeance du passé,1994
393,tt0110649,The New Age,1994
394,tt0110671,A Touch of Love,1994
395,tt0110675,Intervention immédiate,1994
396,tt0110678,Absolom 2022,1994
397,tt0110737,Only You,1994
398,tt0110759,PCU,1994
399,tt0110805,Pentathlon,1994
400,tt0110847,Junior part en guerre,1995
401,tt0110890,Priez pour nous,1994
402,tt0110900,Profil bas,1993
403,tt0110911,Pullman paradis,1995
404,tt0110918,"Kumite, le ring de la mort",1992
405,tt0110944,Rapa Nui,1994
406,tt0110948,Strip Girl,1994
407,tt0110989,Richie Rich,1994
408,tt0111048,S.F.W,1994
409,tt0111129,La servante aimante,1996
410,tt0111143,The Shadow,1994
411,tt0111168,"Sherlock, flic de choc",1994
412,tt0111170,Les 47 rônins,1994
413,tt0111173,Shopping,1994
414,tt0111175,Le Réducteur de Têtes,1994
415,tt0111191,Témoin sous haute tension,1994
416,tt0111218,Sleep with Me,1994
417,tt0111255,L'expert,1994
418,tt0111257,Speed,1994
419,tt0111290,Stickfighter,1994
420,tt0111293,Les allumés,1994
421,tt0111325,Six balles pour un tueur,1995
422,tt0111361,Tammy and the T-Rex,1994
423,tt0111438,Timecop,1994
424,tt0111460,Total balalaïka show,1994
425,tt0111670,Cuba Warriors,1994
426,tt0111825,Dans la ligne de feu,1994
427,tt0112310,Ainsi soient-elles,1995
428,tt0112368,Angus,1995
429,tt0112401,Assassins,1995
430,tt0112410,Au petit Marguery,1995
431,tt0112416,Augustin,1995
432,tt0112418,Interceptor,1995
433,tt0112427,An Awfully Big Adventure,1995
434,tt0112442,Bad Boys : Flics de choc,1995
435,tt0112454,La tournée,1996
436,tt0112462,Batman Forever,1995
437,tt0112471,Before Sunrise,1995
438,tt0112483,Best of the Best 3,1995
439,tt0112508,Billy Madison,1995
440,tt0112536,Bloodsport II,1996
441,tt0112586,Brothers in Trouble,1995
442,tt0112604,Butterfly Kiss,1995
443,tt0112606,Bye Bye Love,1995
444,tt0112642,Casper,1995
445,tt0112697,Clueless,1995
446,tt0112702,Coldblooded,1995
447,tt0112715,Congo,1995
448,tt0112732,The Crash,1995
449,tt0112742,La croisade d'Anne Buridan,1995
450,tt0112750,Crying Freeman,1995
451,tt0112782,Dallas Connection,1994
452,tt0112793,Une proie dangereuse,1995
453,tt0112829,Deadly Past,1995
454,tt0112839,Mercenaries,1995
455,tt0112851,Desperado,1995
456,tt0112866,"Dieu, l'amant de ma mère et le fils du charcutier",1995
457,tt0112867,Digital Man,1995
458,tt0112883,Don Juan DeMarco,1994
459,tt0112886,La donneuse,1995
460,tt0112887,Doom Generation,1995
461,tt0112891,Douce France,1995
462,tt0112895,Dr. Jekyll et Ms. Hyde,1995
463,tt0112942,Genetic Force,1996
464,tt0112950,Empire Records,1995
465,tt0112993,Evolver,1995
466,tt0113010,Fair Game,1995
467,tt0113033,Des flics aux trousses,1996
468,tt0113063,Compte à rebours,1995
469,tt0113067,Planète androïde,1996
470,tt0113075,Fists of Iron,1995
471,tt0113092,Warhammer,2000
472,tt0113117,French Kiss,1995
473,tt0113118,Friday,1995
474,tt0113161,Get Shorty (Stars et truands),1995
475,tt0113189,GoldenEye,1995
476,tt0113277,Heat,1995
477,tt0113278,Heatseeker,1995
478,tt0113318,Cyber Killer,1995
479,tt0113416,L'incroyable histoire vraie de deux filles amoureuses,1995
480,tt0113464,Jeffrey,1995
481,tt0113481,Johnny Mnemonic,1995
482,tt0113492,Judge Dredd,1995
483,tt0113497,Jumanji,1995
484,tt0113507,Justine: A Private Affair,1995
485,tt0113537,Kicking and Screaming,1995
486,tt0113568,Ghost in the Shell,1995
487,tt0113674,Live Nude Girls,1995
488,tt0113730,Madagascar Skin,1995
489,tt0113776,Témoin en fuite,1996
490,tt0113808,Miami rhapsodie,1995
491,tt0113828,Les misérables,1995
492,tt0113845,Money Train,1995
493,tt0113849,Romance sur le lac,1995
494,tt0113855,Mortal Kombat,1995
495,tt0113903,La mémoire est-elle soluble dans l'eau?,1996
496,tt0113964,Ultime violence,1994
497,tt0113981,Night Hunter,1996
498,tt0114095,Party Girl,1995
499,tt0114194,The Prophecy,1995
500,tt0114210,Pyromaniac Love Story,1995
501,tt0114224,Rage Target,1995
502,tt0114228,Les voyageurs de l'arc-en-ciel,1995
503,tt0114296,Un ménage explosif,1995
504,tt0114300,Rosine,1994
505,tt0114306,Rumpelstiltskin,1995
506,tt0114319,Sabrina,1995
507,tt0114339,Pulsions primaires,1996
508,tt0114371,Search and destroy: en plein cauchemar,1995
509,tt0114403,Cauchemar sanglant,1995
510,tt0114478,Smoke,1995
511,tt0114489,Soldier Boyz,1995
512,tt0114550,Stonewall,1995
513,tt0114564,La loi de la jungle,1995
514,tt0114571,Stuart sauve sa famille,1995
515,tt0114614,Tank Girl,1995
516,tt0114683,To the Limit: une femme à abattre,1995
