production_countries,id,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western
0,57800,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,11688,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,284052,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1724,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1119878,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,246655,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0,1493859,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9340,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,653346,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,43347,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,102899,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,5971,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,260513,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,82702,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,9820,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0,76492,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,46195,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,615777,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1064213,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
0,9291,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1011477,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,49530,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,950,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,9757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4248,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,954,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,524434,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,102651,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
0,49444,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,106646,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,991494,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,585,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,12153,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,324857,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1726,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,519182,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,150540,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,99861,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,269149,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,557,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1087192,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,862,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,541671,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,552524,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,181808,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,1054867,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,1387382,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
0,808,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1088434,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
