production_countries,popularity,vote_average,vote_count,runtime,Action,Animation,Aventure,Comédie,Crime,Documentaire,Drame,Familial,Fantastique,Guerre,Histoire,Horreur,Musique,Mystère,Romance,Science-Fiction,Thriller,Téléfilm,Western,release_year
0,12.0241,6.383,8068,88,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
0,12.0153,7.559,7258,79,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2000
0,12.014,7.419,23352,115,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016
0,12.0112,6.235,12626,112,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
0,11.9788,6.261,614,113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,11.0739,6.522,13721,144,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2016
0,11.9603,6.4,93,98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
0,11.959,7.516,6200,114,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1985
0,11.894,7.054,4212,145,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
0,11.881,7.038,5567,112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2010
0,11.8749,7.065,20802,118,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015
0,11.7427,6.176,542,101,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989
0,11.7384,7.451,13628,118,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018
0,11.6949,7.679,10377,85,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2014
0,11.6653,7.209,4496,127,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1998
0,11.6624,6.963,9148,91,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2012
0,11.6125,6.762,7141,90,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011
0,11.6071,7.358,3744,189,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022
0,11.6032,7.062,3106,139,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2024
0,11.5749,6.668,3657,113,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2005
0,11.5442,6.995,1175,94,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025
0,11.5003,6.97,12097,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2011
0,11.489,6.717,10308,91,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
0,11.4441,5.667,2578,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
0,11.4378,5.815,5116,83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
0,11.397,7.024,9930,110,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1996
0,11.3955,6.773,9087,156,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021
0,11.3836,7.086,13679,97,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2014
0,11.3715,7.059,7836,95,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011
0,24.162,8.027,25815,179,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013
0,23.7315,6.8,272,88,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025
0,23.4682,7.848,19685,92,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2001
0,23.4596,6.931,4491,109,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2004
0,23.3738,8.392,17132,117,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018
0,23.16,7.7,28019,125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2008
0,23.085,6.988,3168,95,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2024
0,23.0739,7.91,23378,94,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2015
0,22.8654,7.27,24332,143,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2015
0,22.7252,7.76,17993,109,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2016
0,22.5146,7.326,20557,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2002
0,22.3474,7.919,2747,125,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2025
0,22.0209,7.972,19786,81,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1995
0,21.9009,7.227,2532,125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,21.354,7.196,2126,108,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2025
0,28.5736,6.754,16266,152,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
0,27.7875,7.365,3592,161,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,27.5923,6.867,199,93,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,27.115,7.759,18640,89,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2001
0,26.8655,6.72,75,94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026
0,26.4834,6.851,22293,117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2010
0,26.3686,8.203,22220,121,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1977
0,26.1734,7.592,14028,192,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022
0,25.34,7.155,2744,173,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,25.2418,7.494,10319,131,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021
0,25.1628,6.824,469,119,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1975
0,24.6697,6.98,6292,110,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021
0,24.4738,6.956,3259,115,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025
0,24.2272,7.331,23080,133,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
0,24.1811,6.791,1884,111,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2002
0,299.0156,6.998,1174,113,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2026
0,247.6948,7.389,13142,110,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2006
0,225.6446,7.732,706,105,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2026
0,215.9162,6.819,249,119,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2026
0,155.3158,7.937,483,100,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2026
0,132.8846,6.5,16,100,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,2026
0,119.5331,7.683,2714,107,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025
0,78.1362,5.739,174,104,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
0,66.474,5.869,1090,100,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2025
0,62.2358,5.987,4876,124,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2002
0,13.5709,7.839,846,69,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020
0,13.5581,8.089,10752,242,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2021
0,13.442,7.453,20732,101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014
0,13.4314,7.208,1285,120,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2025
0,13.4801,5.994,18911,153,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2016
0,13.395,7.819,20322,138,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2017
0,13.3046,7.84,13937,130,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019
0,13.2159,6.642,1664,136,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1994
0,13.2145,7.174,4782,98,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1996
0,13.2095,6.937,7508,85,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013
0,13.2021,7.721,7879,139,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022
0,13.1911,7.356,13027,101,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
0,13.1653,7.413,7463,127,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2022
0,13.1574,7.229,7286,121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015
0,13.1572,7.22,14765,98,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997
0,13.1297,7.501,5071,163,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2023
0,13.108,7.348,2222,82,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2023
0,14.1859,6.783,16689,123,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019
0,14.0647,7.45,9738,115,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021
0,13.9754,7.1,7418,107,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2009
0,13.9665,7.206,2405,145,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2025
0,13.9509,7.491,7889,91,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1997
0,13.9382,7.5,10470,100,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019
0,13.8961,7.923,13572,115,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981
0,13.8682,6.53,4444,85,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014
0,13.8443,6.127,67,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
0,13.7944,7.232,10248,104,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2019
0,13.6731,7.311,13360,83,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2004
0,13.6281,7.49,19140,120,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018
0,13.6127,7.169,11187,133,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021
0,10.7763,7.336,14183,122,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017
0,10.7613,6.359,10408,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2015
0,10.7603,7.022,7433,96,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010
0,10.716,6.729,10977,133,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2015
0,10.7014,6.777,2940,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024
0,10.6814,7.558,7052,85,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2002
0,10.6768,6.974,9687,95,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1998
0,10.6493,7.8,7245,107,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2021
0,10.6069,6.867,14864,143,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018
0,10.5976,7.172,5239,127,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
0,10.596,6.904,10354,140,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1996
0,10.5512,7.412,13597,132,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2014
0,10.5458,6.653,12748,129,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017
0,10.5339,6.831,7720,137,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019
0,10.4941,7.159,8068,112,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2018
0,10.4825,7.197,14658,115,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2007
0,10.4644,6.245,353,92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
0,17.9204,7.623,32634,109,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016
0,17.8547,6.346,159,99,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,17.769,6.604,8255,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1999
0,17.6755,6.177,8433,106,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2011
0,17.6252,6.782,3032,103,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2023
0,16.475,7.542,12873,134,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2014
0,17.5458,7.88,8261,92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2021
0,17.52,7.37,14218,81,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2002
0,17.4326,7.3,5756,100,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2022
0,17.3519,7.025,15040,111,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2006
0,17.3436,7.362,23405,134,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2018
0,17.3281,7.609,22849,138,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2017
0,17.6551,7.66,7661,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2022
0,17.2131,7.331,18016,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009
0,17.1081,7.257,16003,95,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2010
0,17.0254,7.461,9534,132,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
0,16.9822,8.151,20094,102,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1998
0,16.9413,6.533,14158,142,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2014
0,16.7703,7.224,10249,126,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022
0,16.6432,6.785,10568,119,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1992
0,16.5666,7.924,8227,149,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
0,16.4994,6.614,4953,144,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
0,16.4162,7.228,3636,117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1983
0,16.4155,6.455,15134,139,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2007
0,16.4106,7.804,15653,103,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2010
0,16.3963,6.944,3312,86,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2019
0,16.3498,6.399,6630,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010
0,16.2881,7.6,14814,92,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1999
0,16.1773,8.201,8762,102,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2022
0,16.1766,6.614,4360,148,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024
0,16.1216,7.325,3306,115,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
0,16.1186,6.362,1663,85,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025
0,13.1031,7.064,5610,95,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998
0,13.0781,6.54,1414,108,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024
0,13.0681,5.799,4325,98,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014
0,12.9744,8.223,12802,130,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2018
0,12.9589,6.522,3460,124,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2023
0,12.9438,8.4,18320,124,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1980
0,12.9248,6.919,13281,130,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013
0,12.8969,7.569,10158,102,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2021
0,12.8803,5.874,12681,158,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2009
0,12.8734,6.983,11192,100,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1994
0,12.8459,5.936,1885,90,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006
0,12.7565,6.572,2113,93,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2015
1,12.6331,7.566,11618,126,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1997
0,12.6109,7.97,18835,110,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003
0,12.6019,7.118,5411,124,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2007
0,34.1037,7.001,3462,94,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2024
0,33.4612,7.5,4420,138,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2025
0,33.3681,8.243,27750,135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1999
0,33.3535,8.484,30081,154,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994
0,32.4655,7.338,4668,130,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2025
0,32.2934,7.198,2050,106,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2007
0,31.9873,8.152,10823,130,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2022
0,30.8685,8.464,29628,142,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1994
0,30.1237,6.6,94,108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026
0,29.8879,7.0,310,108,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2026
0,29.6771,7.544,6626,97,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2024
0,29.6682,7.028,588,105,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2026
0,28.7769,8.332,8511,140,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2023
0,11.0982,6.1,592,110,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1985
0,11.0963,7.728,744,103,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025
0,11.0221,7.604,7493,154,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2003
0,11.0104,5.6,30,90,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2012
0,10.9458,6.987,3019,124,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024
0,10.92,6.555,6029,126,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2017
0,9.5744,6.564,2124,106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021
0,10.8669,7.26,8025,113,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007
0,10.8619,7.272,9231,118,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2011
0,10.8484,6.254,3350,110,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2016
0,10.8335,6.434,1727,104,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2001
0,10.832,6.874,9313,123,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2019
0,10.8055,6.884,6766,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012
0,21.3315,8.325,21691,116,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1985
0,21.173,8.156,12942,165,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1983
0,21.1457,7.723,16509,105,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2014
0,20.8919,6.923,2977,121,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2024
0,20.6927,6.967,9924,124,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1999
0,20.6741,7.97,10008,134,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2021
0,20.5109,7.547,9034,107,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1987
0,20.4813,7.647,762,104,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2025
0,20.3612,6.9,1483,89,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,20.1741,7.1,5339,91,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2019
0,19.9779,7.4,16882,129,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019
1,19.8315,8.269,18350,112,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2011
0,19.6205,6.658,4155,104,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2024
0,19.5726,7.958,21582,95,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009
0,19.5346,7.375,17061,150,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2006
0,14.1773,7.467,4065,138,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2021
0,14.8588,6.9,951,98,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2025
0,14.8204,7.1,26,88,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2026
0,14.7183,7.064,9275,145,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2021
0,14.7038,6.768,22264,115,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011
0,14.6934,7.004,7418,161,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022
0,14.6911,7.933,8279,170,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995
0,14.6482,7.209,20852,141,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017
0,14.6455,6.448,13106,107,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2012
0,14.5984,6.39,7702,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000
1,14.5467,6.724,1703,151,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2001
0,14.4529,6.432,2308,127,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2024
0,14.3866,7.963,10778,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1986
0,14.3036,7.832,4745,110,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2021
0,12.525,6.272,10780,141,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2019
0,12.4901,6.37,8514,118,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022
0,12.45,6.763,8823,100,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2009
0,12.3931,6.577,605,127,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2025
0,12.3814,7.113,742,126,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2025
0,12.3144,6.394,7906,93,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2010
0,12.2919,7.437,11664,130,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2019
0,12.291,6.142,4640,101,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013
